Date,Handy_Odessa_Agioi_30,Handy_Fawley_Rotterdam_30,Handy_Lavera_Augusta_30
2005-01-07T00:00:00Z,31133.4027,48765.50836,40345.47619
2005-01-14T00:00:00Z,28420.02812,48549.47878,37738.36456
2005-01-21T00:00:00Z,29095.67492,49264.09767,38413.96956
2005-01-28T00:00:00Z,33728.73453,48447.81781,42957.22482
2005-02-04T00:00:00Z,33771.63667,46916.91906,42993.49336
2005-02-11T00:00:00Z,32184.38133,45347.89744,41442.8064
2005-02-18T00:00:00Z,26575.35996,42159.02372,35970.06635
2005-02-25T00:00:00Z,26317.94713,41228.37526,35752.45511
2005-03-04T00:00:00Z,27015.04499,40399.38777,36446.19438
2005-03-11T00:00:00Z,25910.37683,40208.77344,35407.90398
2005-03-18T00:00:00Z,25738.76828,41663.42645,35262.82982
2005-03-25T00:00:00Z,25717.31721,41650.71883,35244.69555
2005-04-01T00:00:00Z,25749.49381,42837.01576,35271.89696
2005-04-08T00:00:00Z,25610,41123.3525,35258.39969
2005-04-15T00:00:00Z,25652.964,40056.28197,35190.29274
2005-04-22T00:00:00Z,25551.04049,38207.69266,35156.3427
2005-04-29T00:00:00Z,25009.43195,34227.95432,34646.26464
2005-05-06T00:00:00Z,26789.74691,33576.87355,36360.16003
2005-05-13T00:00:00Z,31583.68954,39859.31382,41039.42233
2005-05-20T00:00:00Z,32377.31721,42978.29562,41814.76581
2005-05-27T00:00:00Z,32441.67042,50797.98845,41869.16862
2005-06-03T00:00:00Z,31508.6108,49930.8781,40975.95238
2005-06-10T00:00:00Z,30221.67042,50096.07719,39679.1452
2005-06-17T00:00:00Z,32291.51294,49930.8781,41742.22873
2005-06-24T00:00:00Z,35251.51294,49829.21712,44662.25995
2005-07-01T00:00:00Z,36184.57255,49918.17048,45555.47619
2005-07-08T00:00:00Z,33835.80427,37003.83032,43361.02264
2005-07-15T00:00:00Z,33492.64904,46602.22054,42966.49883
2005-07-22T00:00:00Z,25803.05962,39681.40711,35421.60812
2005-07-29T00:00:00Z,22660.72553,33449.79733,32347.4356
2005-08-05T00:00:00Z,11700.09561,27224.54135,21619.56674
2005-08-12T00:00:00Z,8075.11249,25375.95205,19669.92584
2005-08-19T00:00:00Z,12965.58493,28602.94864,22898.23966
2005-08-26T00:00:00Z,14145.26997,30708.68242,24104.37549
2005-09-02T00:00:00Z,17813.09336,32897.01576,26960.93677
2005-09-09T00:00:00Z,34178.95951,40634.10905,43755.54645
2005-09-16T00:00:00Z,37417.8234,42253.96115,46911.32319
2005-09-23T00:00:00Z,42029.43195,43759.44465,51436.44418
2005-09-30T00:00:00Z,43702.49156,50048.23874,53059.66823
2005-10-07T00:00:00Z,56711.5748,56559.41621,65728.11085
2005-10-14T00:00:00Z,58652.71091,67990.32634,67682.38876
2005-10-21T00:00:00Z,61333.90889,72078.07947,70262.29899
2005-10-28T00:00:00Z,62813.90889,76696.19096,71722.3146
2005-11-04T00:00:00Z,59886.08549,73704.28538,68829.48478
2005-11-11T00:00:00Z,45868.92576,64410.8781,55099.98048
2005-11-18T00:00:00Z,31873.2171,47348.60848,41388.61046
2005-11-25T00:00:00Z,31851.76603,44223.27287,41370.47619
2005-12-02T00:00:00Z,31841.04049,42660.60506,41361.40906
2005-12-09T00:00:00Z,30843.62767,38642.74386,40413.79001
2005-12-16T00:00:00Z,44313.84702,43406.993,53576.49493
2005-12-23T00:00:00Z,50737.94713,48949.39915,59842.71272
2005-12-30T00:00:00Z,52217.94713,52789.35364,61302.72834
2006-01-06T00:00:00Z,61448.53768,63877.23191,70554.05933
2006-01-13T00:00:00Z,61394.91001,64680.95774,70508.72365
2006-01-20T00:00:00Z,58537.94151,64509.40484,67745.87822
2006-01-27T00:00:00Z,58602.29471,64547.5277,67800.28103
2006-02-03T00:00:00Z,49958.56018,64496.69721,59334.30133
2006-02-10T00:00:00Z,33505.43307,55191.88493,43223.55191
2006-02-17T00:00:00Z,18262.04162,43590.26377,28251.36222
2006-02-24T00:00:00Z,14860.32058,44856.21371,24912.11944
2006-03-03T00:00:00Z,10880.54556,41020.24101,21026.26464
2006-03-10T00:00:00Z,11286.991,40172.03851,21427.8025
2006-03-17T00:00:00Z,16464.65129,38526.46399,26500.13661
2006-03-24T00:00:00Z,22498.10461,36880.88948,32411.81499
2006-03-31T00:00:00Z,22176.33858,34183.7905,31300.45667
2006-04-07T00:00:00Z,24679.36445,33310.17275,34603.43091
2006-04-14T00:00:00Z,24647.18785,33291.11132,34576.22951
2006-04-21T00:00:00Z,27802.2216,29790.28652,37706.92818
2006-04-28T00:00:00Z,27010.78178,30663.90427,36921.98673
2006-05-05T00:00:00Z,26871.34983,31416.7996,36804.11397
2006-05-12T00:00:00Z,26047.73341,30600.36616,35991.97112
2006-05-19T00:00:00Z,25417.1766,37417.75523,35343.03669
2006-05-26T00:00:00Z,25417.1766,38253.25011,35343.03669
2006-06-02T00:00:00Z,23823.57143,38323.14204,33764.08665
2006-06-09T00:00:00Z,24936.77728,39311.12839,34821.04215
2006-06-16T00:00:00Z,26648.36333,39311.12839,36499.73068
2006-06-23T00:00:00Z,26862.87402,39438.20461,36681.07338
2006-06-30T00:00:00Z,26701.991,41013.8872,36545.06635
2006-07-07T00:00:00Z,31665.14061,45089.70063,41436.05777
2006-07-14T00:00:00Z,34745.09561,44886.37867,44503.28649
2006-07-21T00:00:00Z,49411.55793,45791.76547,58871.87744
2006-07-28T00:00:00Z,45111.14173,43272.57321,54657.02186
2006-08-04T00:00:00Z,33097.86277,36569.55273,42879.00078
2006-08-11T00:00:00Z,34777.27222,36550.4913,42851.79938
2006-08-18T00:00:00Z,35184.84252,35956.44124,44875.03903
2006-08-25T00:00:00Z,32671.09111,40165.6847,42402.34192
2006-09-01T00:00:00Z,31045.30934,38545.52543,40796.19048
2006-09-08T00:00:00Z,31066.7604,35216.25353,40814.32475
2006-09-15T00:00:00Z,27911.72666,36210.59369,37683.62607
2006-09-22T00:00:00Z,22457.45219,36528.28424,32261.57299
2006-09-29T00:00:00Z,25580.30934,35514.88265,35365.07026
2006-10-06T00:00:00Z,24831.77165,32236.44124,34616.39735
2006-10-13T00:00:00Z,24008.15523,29749.01803,33804.25449
2006-10-20T00:00:00Z,33389.70191,38920.40029,43009.83997
2006-10-27T00:00:00Z,34245.49494,43933.36957,43849.18423
2006-11-03T00:00:00Z,34342.02475,41484.06923,43930.78845
2006-11-10T00:00:00Z,32405.20247,35502.17503,42061.69009
2006-11-17T00:00:00Z,30052.33408,34793.75637,39725
2006-11-24T00:00:00Z,22564.70754,35756.32748,32352.24434
2006-12-01T00:00:00Z,12957.92463,33970.96911,22956.24902
2006-12-08T00:00:00Z,12145.03375,33996.38436,22153.1733
2006-12-15T00:00:00Z,29710.24184,39022.06126,39377.86495
2006-12-22T00:00:00Z,29903.30146,39136.42986,39541.07338
2006-12-29T00:00:00Z,32021.33296,44972.18641,41621.29977
2007-01-05T00:00:00Z,40639.60067,48742.42531,49355.53864
2007-01-12T00:00:00Z,39834.07762,51542.64147,48556.9516
2007-01-19T00:00:00Z,40091.49044,53502.64147,48774.56284
2007-01-26T00:00:00Z,41841.9685,57022.35137,50489.60968
2007-02-02T00:00:00Z,44333.61642,54992.45944,52948.84075
2007-02-09T00:00:00Z,43077.62092,53910.79847,51769.43404
2007-02-16T00:00:00Z,39383.60517,48564.5186,48176.13193
2007-02-23T00:00:00Z,38470.82677,48589.93385,47286.87354
2007-03-02T00:00:00Z,34304.88751,45675.34909,43294.61749
2007-03-09T00:00:00Z,29547.93588,42976.79391,38685.1171
2007-03-16T00:00:00Z,22879.62317,41181.993,32224.56284
2007-03-23T00:00:00Z,34133.27897,47381.19665,43149.54333
2007-03-30T00:00:00Z,42348.28459,48056.21371,51152.86885
2007-04-06T00:00:00Z,42273.20585,48011.73703,51089.39891
2007-04-13T00:00:00Z,36292.43532,51480.61644,45327.69321
2007-04-20T00:00:00Z,35250.95051,50526.03168,44329.6292
2007-04-27T00:00:00Z,36701.11361,49349.06354,45790.79625
2007-05-04T00:00:00Z,36604.5838,52906.8963,45709.19204
2007-05-11T00:00:00Z,38859.16198,51302.70973,47850.39422
2007-05-18T00:00:00Z,37903.48144,53110.21826,46924.86729
2007-05-25T00:00:00Z,37871.30484,51283.64829,46897.66589
2007-06-01T00:00:00Z,31567.66029,51512.3855,40745.39422
2007-06-08T00:00:00Z,33125.07874,54013.97253,40446.17877
2007-06-15T00:00:00Z,37581.71541,51112.09539,46652.85324
2007-06-22T00:00:00Z,37731.87289,49393.54022,46779.79313
2007-06-29T00:00:00Z,34703.94826,48394.47878,44792.73224
2007-07-06T00:00:00Z,31665.29809,49196.57207,40945.55035
2007-07-13T00:00:00Z,34742.04162,51748.98959,43958.21624
2007-07-20T00:00:00Z,38086.92351,53104.62099,47197.5605
2007-07-27T00:00:00Z,41437.72216,52373.17617,50500.71429
2007-08-03T00:00:00Z,35725.08999,50578.37526,44965.68696
2007-08-10T00:00:00Z,26683.11024,38230.79847,36145.64012
2007-08-17T00:00:00Z,23912.59843,37836.10563,33450.66354
2007-08-24T00:00:00Z,21313.69516,36639.31951,31826.28806
2007-08-31T00:00:00Z,22044.13948,35602.13521,31635.87822
2007-09-07T00:00:00Z,18737.35096,33534.12042,28487.54489
2007-09-14T00:00:00Z,11091.90664,34437.87469,21083.32943
2007-09-21T00:00:00Z,20434.20135,35214.55273,30157.25605
2007-09-28T00:00:00Z,22302.66029,36996.64602,31972.04137
2007-10-05T00:00:00Z,19371.26547,35151.01462,29141.05777
2007-10-12T00:00:00Z,25825.06749,35011.23077,35420.26932
2007-10-19T00:00:00Z,22250.14061,33688.12497,32045.25761
2007-10-26T00:00:00Z,24752.51406,33923.97253,34513.55582
2007-11-02T00:00:00Z,19234.04949,37552.45376,29260.28884
2007-11-09T00:00:00Z,16979.47132,35541.62327,27119.08665
2007-11-16T00:00:00Z,22326.32733,36782.12952,32227.27947
2007-11-23T00:00:00Z,37381.25422,37546.09994,46836.23341
2007-11-30T00:00:00Z,43565.8099,36005.45148,52770.21468
